"","X","ID","Name","Elevation","Prominence","Municipality","Latitude","Longitude"
"32",32,32,"Nautgardstind",2258,573,"Lom / Vågå",61.3611," 8.4535"
"33",33,33,"Hellstugutinden, S1",2255,114,"Lom",61.3219," 8.2548"
"35",35,35,"Storgrovhøe, N",2253,60,"Lom",61.39," 8.1641"
"36",36,36,"Leirungstinden, W",2250,200,"Vågå",61.2458," 8.3456"
"37",37,37,"Memurutinden, W3",2243,80,"Lom",61.336," 8.2743"
"38",38,38,"Veotinden",2240,70,"Lom",61.3434," 8.3152"
"39",39,39,"Semeltinden",2236,450,"Lom",61.3048," 8.2422"
"40",40,40,"Visbretinden",2234,560,"Lom",61.3149," 8.207"
"41",41,41,"Styggehøbretindan, SE",2232,95,"Vågå",61.344," 8.3321"
"42",42,42,"Memurutinden, W4",2230,80,"Lom",61.3247," 8.2830"
"43",43,43,"Høgdebrotet",2226,80,"Vågå",61.2711," 8.408"
"44",44,44,"Storebjørn",2222,800,"Lom",61.3253," 8.814"
"45",45,45,"Heillstugutinden, N3",2218,90,"Lom",61.3342," 8.2513"
"46",46,46,"Store Bukkeholstinden",2213,160,"Lom",61.3445," 8.1828"
"47",47,46,"Styggehøi",2213,230,"Lom",61.3528," 8.2013"
"48",48,48,"Skarvflytindene, S",2210,60,"Vågå",61.2559," 8.3636"
"49",49,49,"Storstyggesvånåtinden",2209,540,"Lesja",62.173," 9.1116"
"50",50,50,"Kalvehøgdi, W2",2208,530,"Vang / Vågå",61.2334," 8.3715"
"51",51,50,"Store Smørstabbtinden",2208,200,"Lom",61.3419," 8.78"
"52",52,51,"Langedalstinden",2206,100,"Vang / Vågå",61.242," 8.3124"
"53",53,52,"Vesle Knutsholstinden",2205,75,"Vågå",61.254," 8.3432"
"54",54,53,"Store Austanbotntind",2203,475,"Luster / Årdal",61.2555," 7.4744"
"55",55,54,"Store Trollhøin, N",2201,347,"Lom",61.425," 8.3456"
"56",56,55,"Blåbreahøe, S2",2196,60,"Lom / Vågå",61.3238," 8.3322"
"57",57,56,"Kvitskardtinden",2193,300,"Vang / Vågå",61.2348," 8.3316"
"58",58,57,"Slettmarkhøe",2190,440,"Lom",61.242," 8.2853"
"59",59,58,"Søre Hellstugutinden, S2",2189,140,"Lom",61.3141," 8.2519"
"60",60,59,"Saksi (mountain)",2189,160,"Lom",61.3342," 8.80"
"61",61,60,"Knutsholstinden, N",2185,55,"Vågå",61.264," 8.3321"
"62",62,61,"Veobrehesten",2185,50,"Lom",61.3533," 8.2821"
"63",63,62,"Veobretinden",2183,100,"Lom",61.3448," 8.2926"
"64",64,63,"Kalvehøgde",2178,85,"Vang / Vågå",61.233," 8.3846"
"65",65,64,"Rondeslottet",2178,1232,"Dovre / Folldal",61.5454," 9.514"
"66",66,65,"Stornubben",2174,170,"Lom / Vågå",61.3739," 8.4743"
